ServerName,Date,Mode,Model,ImageName,SessionID,ClientCount,StartTime,FinishTime,TotalTime,Result
CH-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,a,6,12:28 PM,12:36 PM,00:07:56,SUCCESS
DAL-LAB3,2026-06-10,APPLY,Latitude 5430,Dell_Latitude-5430_Win11Pro-25H2_03-03-26.wim,32,1,12:49 PM,12:53 PM,00:03:41,SUCCESS
CH-LAB1,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,1,6,12:58 PM,1:03 PM,00:04:47,SUCCESS
CH-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,b,6,12:58 PM,1:03 PM,00:05:35,SUCCESS
CH-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,a,6,12:57 PM,1:09 PM,00:11:57,SUCCESS
DAL-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,31,3,1:13 PM,1:19 PM,00:06:04,SUCCESS
DAL-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,32,2,1:13 PM,1:19 PM,00:05:48,SUCCESS
DAL-LAB2,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,23,4,1:19 PM,1:23 PM,00:04:34,SUCCESS
DAL-LAB2,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,21,4,1:23 PM,1:27 PM,00:04:44,SUCCESS
CH-LAB1,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,1,6,1:31 PM,1:35 PM,00:04:44,SUCCESS
CH-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,a,6,1:30 PM,1:36 PM,00:06:05,SUCCESS
CH-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,b,6,1:30 PM,1:36 PM,00:05:59,SUCCESS
DAL-LAB2,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,21,3,1:42 PM,1:46 PM,00:04:34,SUCCESS
CH-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,b,4,1:55 PM,2:01 PM,00:05:33,SUCCESS
CH-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,a,6,1:55 PM,2:01 PM,00:06:19,SUCCESS
ORL-LAB5,2026-06-10,APPLY,ThinkStation P330 Tiny,PORTRAIT (KIOSKS) P330_W11PRO-25H2 12-06-25.wim,w,3,3:02 PM,3:07 PM,00:04:46,SUCCESS
DAL-LAB3,2026-06-10,APPLY,Latitude 5440,Dell_Latitude-5440_Win11Pro-25H2_03-03-26.wim,31,1,2:05 PM,2:09 PM,00:03:49,SUCCESS
DAL-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,31,3,2:26 PM,2:31 PM,00:05:14,SUCCESS
DAL-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,32,2,2:28 PM,2:33 PM,00:04:56,SUCCESS
DAL-LAB2,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,21,3,2:38 PM,2:43 PM,00:05:17,SUCCESS
DAL-LAB2,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,22,2,2:40 PM,2:45 PM,00:05:22,SUCCESS
ENG-LAB1,2026-06-10,APPLY,NUC12WSH-B,Intel-NUC-NUC12WShi7_Win11Pro-25H2_03-23-26.wim,1,5,3:39 PM,3:48 PM,00:09:11,SUCCESS
ENG-LAB1,2026-06-10,APPLY,NUC12WSH-B,Intel-NUC-NUC12WShi7_Win11Pro-25H2_03-23-26.wim,2,5,3:39 PM,3:48 PM,00:09:33,SUCCESS
ENG-LAB1,2026-06-10,APPLY,NUC12WSH-B,Intel-NUC-NUC12WShi7_Win11Pro-25H2_03-23-26.wim,3,5,3:39 PM,3:49 PM,00:09:31,SUCCESS
ENG-LAB1,2026-06-10,APPLY,NUC12WSH-B,Intel-NUC-NUC12WShi7_Win11Pro-25H2_03-23-26.wim,4,5,3:39 PM,3:49 PM,00:09:11,SUCCESS
CH-LAB3,2026-06-10,APPLY,ThinkPad L15 Gen 1,Lenovo_ThinkPad-L15_Win11Pro-25H2_03-07-26.wim,z,1,2:55 PM,3:00 PM,00:04:52,SUCCESS
CH-LAB3,2026-06-10,APPLY,ThinkPad E14,Lenovo_ThinkPad-E14_Win11Pro-24H2_03-06-26.wim,x,2,2:55 PM,3:00 PM,00:05:38,SUCCESS
ENG-LAB1,2026-06-10,APPLY,NUC12WSH-B,Intel-NUC-NUC12WShi7_Win11Pro-25H2_03-23-26.wim,1,5,4:06 PM,4:10 PM,00:03:56,SUCCESS
ENG-LAB1,2026-06-10,APPLY,NUC12WSH-B,Intel-NUC-NUC12WShi7_Win11Pro-25H2_03-23-26.wim,2,6,4:06 PM,4:13 PM,00:06:59,SUCCESS
DAL-LAB2,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,21,2,3:10 PM,3:14 PM,00:04:26,SUCCESS
HAU-LAB2,2026-06-10,APPLY,OptiPlex 7050,Dell Precision 3431 W11PRO (25H2) [03-01-26].wim,1,1,4:07 PM,4:18 PM,00:11:16,SUCCESS
LV-LAB3B,2026-06-10,APPLY,Microsoft Surface Pro 11th Edition,Microsoft_Surface-Pro-11_Win11Pro-25H2-ARM64_03-10-26.wim,3,2,1:08 PM,1:20 PM,00:12:21,SUCCESS
ENG-LAB1,2026-06-10,APPLY,NUC12WSH-B,Intel-NUC-NUC12WShi7_Win11Pro-25H2_03-23-26.wim,1,1,4:36 PM,4:39 PM,00:03:29,SUCCESS
LA-LAB4,2026-06-10,APPLY,HP ProBook 440 G7,HP_ProBook-440-G7_Win11Pro-25H2_03-09-26.wim,2,1,1:53 PM,1:58 PM,00:04:47,SUCCESS
DAL-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,31,3,4:21 PM,4:31 PM,00:10:07,SUCCESS
DAL-LAB2,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,22,3,4:24 PM,4:33 PM,00:08:23,SUCCESS
DAL-LAB3,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,32,3,4:22 PM,4:33 PM,00:11:13,SUCCESS
DAL-LAB2,2026-06-10,APPLY,Latitude 5520,Dell_Latitude-5520_Win11Pro-25H2_03-04-26.wim,21,3,4:23 PM,4:34 PM,00:10:39,SUCCESS
LV-LAB4A,2026-06-10,APPLY,Precision 7560,Dell_Precision-7560_Win11Pro-25H2_03-05-26.wim,1,4,3:27 PM,3:30 PM,00:03:31,SUCCESS
LV-LAB3B,2026-06-10,APPLY,Microsoft Surface Pro 11th Edition,Microsoft_Surface-Pro-11_Win11Pro-25H2-ARM64_03-10-26.wim,3,1,3:20 PM,3:32 PM,00:11:59,SUCCESS
